xyzdmxyzcountry,xyzdmxyzyearrange,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzdistribution,xyzdpxyzsi_spr_pcap_zg,xyzdcxyzpppyear,xyzdmxyzcoverage,survey_coverage
BFA,2018-2021,FALSE,CONS,tot,-1.100506,2017,N,N
BFA,2018-2021,FALSE,CONS,m50,2.5203,2017,N,N
BFA,2018-2021,FALSE,CONS,b40,3.173819,2021,N,N
BFA,2018-2021,FALSE,CONS,b40,3.173823,2017,N,N
BFA,2018-2021,FALSE,CONS,m50,2.520297,2021,N,N
BFA,2018-2021,FALSE,CONS,tot,-1.100502,2021,N,N
BFA,2018-2021,FALSE,CONS,premium,4.274321,2021,N,N
BFA,2018-2021,FALSE,CONS,premium,4.274328,2017,N,N
BGD,2005-2010,FALSE,CONS,b40,1.730609,2021,N,N
BGD,2005-2010,FALSE,CONS,m50,1.849886,2017,N,N
BGD,2005-2010,FALSE,CONS,premium,.3617004,2017,N,N
BGD,2005-2010,FALSE,CONS,premium,.3616862,2021,N,N
BGD,2005-2010,FALSE,CONS,tot,1.368923,2021,N,N
BGD,2005-2010,FALSE,CONS,tot,1.368924,2017,N,N
BGD,2005-2010,FALSE,CONS,b40,1.730625,2017,N,N
BGD,2005-2010,FALSE,CONS,m50,1.849889,2021,N,N
BGD,2010-2016,FALSE,CONS,m50,1.652211,2021,N,N
BGD,2010-2016,FALSE,CONS,premium,-.1901151,2021,N,N
BGD,2010-2016,FALSE,CONS,tot,1.53915,2017,N,N
BGD,2010-2016,FALSE,CONS,tot,1.539152,2021,N,N
BGD,2010-2016,FALSE,CONS,b40,1.349033,2017,N,N
BGD,2010-2016,FALSE,CONS,premium,-.1901174,2017,N,N
BGD,2010-2016,FALSE,CONS,m50,1.652215,2017,N,N
BGD,2010-2016,FALSE,CONS,b40,1.349037,2021,N,N
BGR,2007-2011,FALSE,INC,tot,.4488476,2021,N,N
BGR,2007-2011,FALSE,INC,tot,.4488379,2017,N,N
BGR,2007-2011,FALSE,INC,b40,1.393894,2017,N,N
